cid,MolecularFormula,MolecularWeight,InChI,IUPACName,XLogP,ExactMass,INCHIKEY,ENVIRONMENTAL_CON_ID,SITE_CODE,ENVIRONMENTAL_COMPARTMENT,SAMPLE_DATE,STRESSOR_ID,STRESSOR_NAME,CAS,MEASURED_VALUE,MEASURED_UNIT,SITE_NAME,LATITUDE,LONGITUDE,COORDINATE_SYSTEM
43234,C15H17Cl2N3O2,342.2,"InChI=1S/C15H17Cl2N3O2/c1-2-3-12-7-21-15(22-12,8-20-10-18-9-19-20)13-5-4-11(16)6-14(13)17/h4-6,9-10,12H,2-3,7-8H2,1H3","1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",3.5,341.0697822,STJLVHWMYQXCPB-UHFFFAOYSA-N,576940,TIME,Freshwater,2019-05-20T00:00:00Z,1284975,propiconazole,60207-90-1,0.016,ug/L,Timebekken,58.72939,5.679508,WGS1984 UTM Zone 32N
50465,C7H5Cl2FN2O3,255.03,"InChI=1S/C7H5Cl2FN2O3/c8-3-5(11)4(9)7(12-6(3)10)15-1-2(13)14/h1H2,(H2,11,12)(H,13,14)","2-(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxyacetic acid",1.8,253.9661256,MEFQWPUMEMWTJP-UHFFFAOYSA-N,576941,TIME,Freshwater,2019-06-03T00:00:00Z,1879,fluroxypyr,69377-81-7,0.15,ug/L,Timebekken,58.72939,5.679508,WGS1984 UTM Zone 32N
11700495,C12H8F3N5O3S,359.29,"InChI=1S/C12H8F3N5O3S/c1-23-12-16-5-8(15)10-17-11(18-20(10)12)24(21,22)19-9-6(13)3-2-4-7(9)14/h2-5,19H,1H3","N-(2,6-difluorophenyl)-8-fluoro-5-methoxy-[1,2,4]triazolo[1,5-c]pyrimidine-2-sulfonamide",1.6,359.02999479,QZXATCCPQKOEIH-UHFFFAOYSA-N,576942,TIME,Freshwater,2019-07-29T00:00:00Z,25464,florasulam,145701-23-1,0.023,ug/L,Timebekken,58.72939,5.679508,WGS1984 UTM Zone 32N
50465,C7H5Cl2FN2O3,255.03,"InChI=1S/C7H5Cl2FN2O3/c8-3-5(11)4(9)7(12-6(3)10)15-1-2(13)14/h1H2,(H2,11,12)(H,13,14)","2-(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxyacetic acid",1.8,253.9661256,MEFQWPUMEMWTJP-UHFFFAOYSA-N,576943,TIME,Freshwater,2019-07-29T00:00:00Z,1879,fluroxypyr,69377-81-7,0.46,ug/L,Timebekken,58.72939,5.679508,WGS1984 UTM Zone 32N
30479,C8H14N4OS,214.29,"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3","4-amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one",1.7,214.08883226,FOXFZRUHNHCZPX-UHFFFAOYSA-N,576944,TIME,Freshwater,2019-07-29T00:00:00Z,1297,metribuzin,21087-64-9,0.59,ug/L,Timebekken,58.72939,5.679508,WGS1984 UTM Zone 32N
50465,C7H5Cl2FN2O3,255.03,"InChI=1S/C7H5Cl2FN2O3/c8-3-5(11)4(9)7(12-6(3)10)15-1-2(13)14/h1H2,(H2,11,12)(H,13,14)","2-(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxyacetic acid",1.8,253.9661256,MEFQWPUMEMWTJP-UHFFFAOYSA-N,576945,TIME,Freshwater,2019-08-12T00:00:00Z,1879,fluroxypyr,69377-81-7,0.33,ug/L,Timebekken,58.72939,5.679508,WGS1984 UTM Zone 32N
30479,C8H14N4OS,214.29,"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3","4-amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one",1.7,214.08883226,FOXFZRUHNHCZPX-UHFFFAOYSA-N,576946,TIME,Freshwater,2019-08-12T00:00:00Z,1297,metribuzin,21087-64-9,0.014,ug/L,Timebekken,58.72939,5.679508,WGS1984 UTM Zone 32N
50465,C7H5Cl2FN2O3,255.03,"InChI=1S/C7H5Cl2FN2O3/c8-3-5(11)4(9)7(12-6(3)10)15-1-2(13)14/h1H2,(H2,11,12)(H,13,14)","2-(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxyacetic acid",1.8,253.9661256,MEFQWPUMEMWTJP-UHFFFAOYSA-N,576947,TIME,Freshwater,2019-08-26T00:00:00Z,1879,fluroxypyr,69377-81-7,0.16,ug/L,Timebekken,58.72939,5.679508,WGS1984 UTM Zone 32N
2328,C10H12N2O3S,240.28,"InChI=1S/C10H12N2O3S/c1-7(2)12-10(13)8-5-3-4-6-9(8)11-16(12,14)15/h3-7,11H,1-2H3","2,2-dioxo-3-propan-2-yl-1H-2lambda6,1,3-benzothiadiazin-4-one",2.8,240.05686342,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,576965,VASSHAGLONA,Freshwater,2019-05-06T00:00:00Z,99,bentazone,12705-05-4,0.027,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
213013,C18H12Cl2N2O,343.2,"InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)",2-chloro-N-[2-(4-chlorophenyl)phenyl]pyridine-3-carboxamide,4.9,342.0326684,WYEMLYFITZORAB-UHFFFAOYSA-N,576966,VASSHAGLONA,Freshwater,2019-05-06T00:00:00Z,124,boscalid,188425-85-6,0.019,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
30479,C8H14N4OS,214.29,"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3","4-amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one",1.7,214.08883226,FOXFZRUHNHCZPX-UHFFFAOYSA-N,576967,VASSHAGLONA,Freshwater,2019-05-06T00:00:00Z,1297,metribuzin,21087-64-9,0.026,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
91692,C19H21ClN2O,328.8,"InChI=1S/C19H21ClN2O/c20-16-12-10-15(11-13-16)14-22(18-8-4-5-9-18)19(23)21-17-6-2-1-3-7-17/h1-3,6-7,10-13,18H,4-5,8-9,14H2,(H,21,23)",1-[(4-chlorophenyl)methyl]-1-cyclopentyl-3-phenylurea,4.8,328.1342410,OGYFATSSENRIKG-UHFFFAOYSA-N,576968,VASSHAGLONA,Freshwater,2019-05-06T00:00:00Z,2312,pencycuron,66063-05-6,0.019,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
92389,C12H9ClN2O3,264.66,"InChI=1S/C12H9ClN2O3/c13-11-10(18-8-4-2-1-3-5-8)7-6-9(12(11)14)15(16)17/h1-7H,14H2",2-chloro-6-nitro-3-phenoxyaniline,3.8,264.0301698,DDBMQDADIHOWIC-UHFFFAOYSA-N,576969,VASSHAGLONA,Freshwater,2019-05-20T00:00:00Z,59,aclonifen,74070-46-5,0.02,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
2328,C10H12N2O3S,240.28,"InChI=1S/C10H12N2O3S/c1-7(2)12-10(13)8-5-3-4-6-9(8)11-16(12,14)15/h3-7,11H,1-2H3","2,2-dioxo-3-propan-2-yl-1H-2lambda6,1,3-benzothiadiazin-4-one",2.8,240.05686342,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,576970,VASSHAGLONA,Freshwater,2019-05-20T00:00:00Z,99,bentazone,12705-05-4,0.025,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
213013,C18H12Cl2N2O,343.2,"InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)",2-chloro-N-[2-(4-chlorophenyl)phenyl]pyridine-3-carboxamide,4.9,342.0326684,WYEMLYFITZORAB-UHFFFAOYSA-N,576971,VASSHAGLONA,Freshwater,2019-05-20T00:00:00Z,124,boscalid,188425-85-6,0.12,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
86367,C14H15N3,225.29,"InChI=1S/C14H15N3/c1-10-9-13(11-7-8-11)17-14(15-10)16-12-5-3-2-4-6-12/h2-6,9,11H,7-8H2,1H3,(H,15,16,17)",4-cyclopropyl-6-methyl-N-phenylpyrimidin-2-amine,3.1,225.126597491,HAORKNGNJCEJBX-UHFFFAOYSA-N,576972,VASSHAGLONA,Freshwater,2019-05-20T00:00:00Z,957,cyprodinil,121552-61-2,0.017,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
86398,C12H6F2N2O2,248.18,"InChI=1S/C12H6F2N2O2/c13-12(14)17-10-3-1-2-8(11(10)18-12)9-6-16-5-7(9)4-15/h1-3,5-6,16H","4-(2,2-difluoro-1,3-benzodioxol-4-yl)-1H-pyrrole-3-carbonitrile",2.6,248.03973376,MUJOIMFVNIBMKC-UHFFFAOYSA-N,576973,VASSHAGLONA,Freshwater,2019-05-20T00:00:00Z,280,fludioxonil,131341-86-1,0.012,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
54778,C12H14ClNO2,239.70,"InChI=1S/C12H14ClNO2/c1-12(2)8-16-14(11(12)15)7-9-5-3-4-6-10(9)13/h3-6H,7-8H2,1-2H3","2-[(2-chlorophenyl)methyl]-4,4-dimethyl-1,2-oxazolidin-3-one",2.5,239.0713064,KIEDNEWSYUYDSN-UHFFFAOYSA-N,576974,VASSHAGLONA,Freshwater,2019-05-20T00:00:00Z,175,clomazone,81777-89-1,0.013,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
5377791,C12H14Cl3O4P,359.6,"InChI=1S/C12H14Cl3O4P/c1-3-17-20(16,18-4-2)19-12(8-13)10-6-5-9(14)7-11(10)15/h5-8H,3-4H2,1-2H3/b12-8+","[(E)-2-chloro-1-(2,4-dichlorophenyl)ethenyl] diethyl phosphate",3.1,357.969529,FSAVDKDHPDSCTO-XYOKQWHBSA-N,576975,VASSHAGLONA,Freshwater,2019-05-20T00:00:00Z,1521120,chlorfenvinphos,18708-86-6,0.017,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
30479,C8H14N4OS,214.29,"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3","4-amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one",1.7,214.08883226,FOXFZRUHNHCZPX-UHFFFAOYSA-N,576976,VASSHAGLONA,Freshwater,2019-05-20T00:00:00Z,1297,metribuzin,21087-64-9,0.16,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
91692,C19H21ClN2O,328.8,"InChI=1S/C19H21ClN2O/c20-16-12-10-15(11-13-16)14-22(18-8-4-5-9-18)19(23)21-17-6-2-1-3-7-17/h1-3,6-7,10-13,18H,4-5,8-9,14H2,(H,21,23)",1-[(4-chlorophenyl)methyl]-1-cyclopentyl-3-phenylurea,4.8,328.1342410,OGYFATSSENRIKG-UHFFFAOYSA-N,576977,VASSHAGLONA,Freshwater,2019-05-20T00:00:00Z,2312,pencycuron,66063-05-6,0.04,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
2328,C10H12N2O3S,240.28,"InChI=1S/C10H12N2O3S/c1-7(2)12-10(13)8-5-3-4-6-9(8)11-16(12,14)15/h3-7,11H,1-2H3","2,2-dioxo-3-propan-2-yl-1H-2lambda6,1,3-benzothiadiazin-4-one",2.8,240.05686342,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,576978,VASSHAGLONA,Freshwater,2019-06-03T00:00:00Z,99,bentazone,12705-05-4,0.039,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
213013,C18H12Cl2N2O,343.2,"InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)",2-chloro-N-[2-(4-chlorophenyl)phenyl]pyridine-3-carboxamide,4.9,342.0326684,WYEMLYFITZORAB-UHFFFAOYSA-N,576979,VASSHAGLONA,Freshwater,2019-06-03T00:00:00Z,124,boscalid,188425-85-6,0.022,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
30479,C8H14N4OS,214.29,"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3","4-amino-6-tert-butyl-3-methylsulfanyl-1,2,4-triazin-5-one",1.7,214.08883226,FOXFZRUHNHCZPX-UHFFFAOYSA-N,576980,VASSHAGLONA,Freshwater,2019-06-03T00:00:00Z,1297,metribuzin,21087-64-9,0.032,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
91692,C19H21ClN2O,328.8,"InChI=1S/C19H21ClN2O/c20-16-12-10-15(11-13-16)14-22(18-8-4-5-9-18)19(23)21-17-6-2-1-3-7-17/h1-3,6-7,10-13,18H,4-5,8-9,14H2,(H,21,23)",1-[(4-chlorophenyl)methyl]-1-cyclopentyl-3-phenylurea,4.8,328.1342410,OGYFATSSENRIKG-UHFFFAOYSA-N,576981,VASSHAGLONA,Freshwater,2019-06-03T00:00:00Z,2312,pencycuron,66063-05-6,0.014,ug/L,Vasshaglona,58.33533,8.459058,WGS1984 UTM Zone 32N
